a2092723.262612
L'Aquila 27/09/2020 23:26:09 27/09/2020 23:26:26 0650 0013.384373 0052.542185 00.0 00.0
0000500 0010 0000000 0010 05 0000000 0000 0000000 0000
1 0 1 16380 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 BT0 "ch1 UV-AIR"
1 2 1 04090 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 S2A0 "ch1 UV-AIR"
1 1 1 16380 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 BC0 "ch1 UV-AIR"
1 3 1 04090 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 S2P0 "ch1 UV-AIR"
1 1 1 16380 1 0800 3.75 00386.o 0 0 00 000 00 000500 3.1746 BC1 "ch2 UV-N2"
355.000 .o Analog 0 	355.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	386.000 .o Photon Counting 1 
17.3592	0.0651601	144.56	3.40223	144.48
16.1365	0.0628212	143.68	3.39506	144.48
16.0623	0.0626792	143.6	3.39148	144.32
16.5597	0.0636409	144	3.39865	143.92
16.0737	0.062701	143.6	3.39148	143.84
16.7421	0.0639907	144.08	3.39865	143.44
16.423	0.0633786	143.84	3.39506	143.92
16.4818	0.0634879	143.92	3.39506	143.28
16.1414	0.0628322	143.68	3.39506	143.84
16.6698	0.0638486	144	3.39865	143.44
16.0029	0.0625589	143.6	3.39148	143.6
15.662	0.0618923	143.28	3.3879	144
15.5934	0.0617502	143.2	3.3879	143.12
15.6559	0.0618813	143.28	3.3879	143.52
16.1463	0.0628431	143.68	3.39506	143.76
15.5155	0.0615972	143.2	3.3879	143.36
15.641	0.0618485	143.28	3.3879	143.12
16.2012	0.0629524	143.68	3.39506	143.44
15.5138	0.0615972	143.2	3.3879	143.52
15.9519	0.0624606	143.52	3.39148	143.04
15.3858	0.0613458	143.04	3.3879	142.8
15.4442	0.0614551	143.12	3.3879	143.44
15.4103	0.0613895	143.12	3.3879	143.04
15.7573	0.0620781	143.36	3.39148	142.56
15.5109	0.0615862	143.2	3.3879	142.88
15.0926	0.0607556	142.8	3.38432	143.2
14.8393	0.0602419	142.56	3.38074	142.72
15.6193	0.0618048	143.28	3.3879	143.04
14.958	0.0604824	142.72	3.38074	142.56
15.0823	0.0607338	142.8	3.38432	142.88
15.1612	0.0608977	142.88	3.38432	142.96
14.8828	0.0603294	142.64	3.38074	142.4
15.3089	0.0611928	142.96	3.38432	142.32
15.1919	0.0609523	142.88	3.38432	142.32
15.0073	0.0605808	142.72	3.38074	142.16
14.3949	0.0593348	142.16	3.37358	142.8
14.6535	0.0598594	142.4	3.37716	141.92
14.0447	0.0586026	141.84	3.37358	142.48
14.6178	0.0597938	142.4	3.37716	142.32
13.8794	0.0582638	141.68	3.37	142.08
14.8034	0.0601654	142.56	3.38074	141.76
13.9114	0.0583293	141.68	3.37	142.24
14.2713	0.0590834	142.08	3.37358	142.24
14.4918	0.0595315	142.32	3.37716	142
13.5912	0.0576517	141.36	3.36641	141.68
13.9336	0.058373	141.76	3.37	141.44
13.6256	0.0577282	141.44	3.36641	141.36
14.5126	0.0595753	142.32	3.37716	141.92
13.8144	0.0581217	141.6	3.37	141.92
13.6127	0.0576954	141.44	3.36641	141.12
13.7116	0.057914	141.52	3.37	141.6
13.6535	0.0577829	141.44	3.36641	141.52
13.1565	0.0567227	140.88	3.35925	141.44
14.1341	0.0587993	141.92	3.37358	141.44
13.2168	0.0568539	140.96	3.36283	140.88
12.9998	0.0563839	140.72	3.35925	141.04
13.7079	0.0579031	141.52	3.37	141.28
13.0061	0.0563949	140.72	3.35925	141.44
13.6234	0.0577173	141.44	3.36641	140.64
13.5646	0.0575971	141.36	3.36641	141.04
13.3543	0.057149	141.12	3.36283	141.6
12.8571	0.0560779	140.56	3.35567	140.64
12.7973	0.0559468	140.48	3.35567	140.88
13.17	0.0567555	140.96	3.36283	140.48
13.1233	0.0566572	140.88	3.35925	140.32
13.0842	0.0565697	140.8	3.35925	140.4
13.0408	0.0564714	140.8	3.35925	141.28
12.8371	0.0560342	140.56	3.35567	140.88
12.6024	0.0555205	140.24	3.35209	140.96
12.7902	0.0559249	140.48	3.35567	140.4
13.0869	0.0565697	140.8	3.35925	140.16
12.5939	0.0554987	140.24	3.35209	140.4
13.0691	0.0565369	140.8	3.35925	140.56
12.2652	0.0547664	139.84	3.34851	140.64
13.0203	0.0564276	140.8	3.35925	139.44
12.1893	0.0546025	139.76	3.34851	139.52
12.949	0.0562746	140.64	3.35925	139.92
12.1375	0.0544822	139.68	3.34493	139.36
12.7114	0.055761	140.4	3.35567	140.16
12.6581	0.0556407	140.32	3.35209	140.56
12.2061	0.0546352	139.76	3.34851	139.28
12.5419	0.0553894	140.16	3.35209	139.44
12.0764	0.0543511	139.6	3.34493	139.36
12.0647	0.0543183	139.6	3.34493	138.96
11.7416	0.053586	139.12	3.33776	139.2
12.493	0.0552801	140.16	3.35209	138.96
11.5165	0.0530724	138.8	3.33418	139.44
12.0134	0.054209	139.52	3.34493	138.72
12.1101	0.0544276	139.68	3.34493	139.12
11.4252	0.0528647	138.72	3.33418	139.84
11.8249	0.0537828	139.28	3.34135	139.28
11.9399	0.0540341	139.44	3.34493	138.48
12.1326	0.0544713	139.68	3.34493	138.88
11.9021	0.0539576	139.36	3.34135	139.68
11.8503	0.0538374	139.28	3.34135	139.6
11.1143	0.0521325	138.16	3.32702	138.48
11.3194	0.0526133	138.48	3.3306	138.4
11.1079	0.0521215	138.24	3.3306	138.64
11.9109	0.0539686	139.36	3.34135	139.28
11.5973	0.0532582	138.96	3.33776	138.16
11.041	0.0519685	138.08	3.32702	137.84
11.5565	0.0531598	138.88	3.33776	138.96
10.8891	0.0516078	137.84	3.32344	138.16
10.9189	0.0516734	137.92	3.32344	138.64
10.7258	0.0512144	137.6	3.31986	139.04
10.9858	0.0518374	138	3.32702	137.6
11.622	0.0533128	138.96	3.33776	138.32
11.2676	0.0524931	138.4	3.3306	137.92
