a2262915.371660
LAquila  29/06/2022 15:37:11 29/06/2022 15:37:16 0000 0000.000000 0000.000000 00.0 00.0
0000166 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
148.434	6.00288	26.8326	0.215138	148.434	6.00288
148.193	5.98412	25.3196	0.205577	148.193	5.98412
148.675	6.00288	27.78	0.221092	148.916	6.00288
148.193	5.98412	26.9628	0.215939	148.675	6.00288
148.675	6.00288	25.2372	0.205062	148.193	5.98412
148.675	6.00288	27.4593	0.219088	148.675	6.00288
148.434	6.00288	25.8492	0.208898	148.434	6.00288
148.193	5.98412	25.1033	0.204203	148.193	5.98412
147.952	5.98412	26.164	0.210901	148.434	6.00288
147.952	5.98412	26.3185	0.211875	148.434	6.00288
148.434	6.00288	25.2769	0.205291	148.193	5.98412
148.193	5.98412	26.8613	0.21531	148.675	6.00288
148.193	5.98412	26.9334	0.215768	148.675	6.00288
148.193	5.98412	26.3545	0.212104	148.675	6.00288
148.434	6.00288	25.9919	0.209814	148.434	6.00288
147.952	5.98412	25.6521	0.207696	148.193	5.98412
148.193	5.98412	26.1765	0.211016	148.434	6.00288
148.675	6.00288	26.6502	0.213993	148.434	6.00288
148.916	6.00288	26.6774	0.214165	148.675	6.00288
148.675	6.00288	24.2391	0.198765	147.952	5.98412
147.952	5.98412	26.556	0.213363	148.675	6.00288
147.952	5.98412	25.9529	0.209585	148.434	6.00288
148.434	6.00288	25.755	0.208325	148.434	6.00288
148.675	6.00288	25.3696	0.205921	148.193	5.98412
148.434	6.00288	26.022	0.210043	148.434	6.00288
147.952	5.98412	25.8661	0.209012	148.434	6.00288
148.434	6.00288	25.1931	0.204776	148.193	5.98412
148.193	5.98412	26.3545	0.212104	148.675	6.00288
147.952	5.98412	25.6138	0.207467	148.434	6.00288
148.193	5.98412	23.7191	0.195445	147.47	5.98412
147.47	5.98412	25.8337	0.208841	148.434	6.00288
147.952	5.98412	25.0489	0.20386	147.952	5.98412
147.711	5.98412	24.9805	0.203459	148.193	5.98412
147.47	5.98412	23.9956	0.197219	147.711	5.98412
148.434	6.00288	25.491	0.206665	148.193	5.98412
147.711	5.98412	24.8363	0.202543	148.193	5.98412
147.711	5.98412	24.9893	0.203516	147.952	5.98412
147.952	5.98412	24.4605	0.200139	147.952	5.98412
148.193	5.98412	24.5554	0.200769	147.952	5.98412
147.952	5.98412	25.2983	0.205463	148.193	5.98412
147.952	5.98412	23.3939	0.193384	147.711	5.98412
147.711	5.98412	24.8658	0.202715	147.952	5.98412
147.711	5.98412	24.7952	0.202257	148.193	5.98412
147.952	5.98412	24.2898	0.199051	147.952	5.98412
147.47	5.98412	24.9415	0.203173	147.952	5.98412
148.193	5.98412	22.5569	0.18806	147.229	5.96537
147.952	5.98412	22.4981	0.187659	147.229	5.96537
147.952	5.98412	23.6234	0.194815	147.711	5.98412
147.47	5.98412	22.7202	0.18909	147.229	5.96537
146.988	5.96537	23.6705	0.195158	147.711	5.98412
147.711	5.98412	23.2468	0.192468	147.47	5.98412
147.952	5.98412	22.9467	0.190521	147.47	5.98412
147.711	5.98412	23.597	0.194643	147.47	5.98412
146.988	5.96537	24.3524	0.199452	147.952	5.98412
147.47	5.98412	23.3667	0.193212	147.711	5.98412
146.747	5.96537	22.106	0.185197	146.988	5.96537
146.747	5.96537	21.9766	0.184338	146.988	5.96537
147.229	5.96537	23.7985	0.19596	147.711	5.98412
147.229	5.96537	21.6764	0.182449	146.747	5.96537
147.229	5.96537	22.2141	0.185884	146.988	5.96537
147.47	5.98412	23.7536	0.195674	147.47	5.98412
146.747	5.96537	21.5911	0.181877	146.747	5.96537
147.229	5.96537	22.0214	0.184625	147.229	5.96537
147.711	5.98412	22.8327	0.189834	147.229	5.96537
146.988	5.96537	21.1204	0.1789	146.747	5.96537
147.47	5.98412	21.0579	0.178499	146.506	5.96537
146.506	5.96537	23.124	0.191666	147.47	5.98412
146.747	5.96537	23.2204	0.192296	147.47	5.98412
147.229	5.96537	22.8357	0.189834	147.47	5.98412
146.988	5.96537	23.06	0.191265	147.229	5.96537
146.988	5.96537	23.0166	0.190979	147.47	5.98412
146.988	5.96537	21.127	0.1789	146.747	5.96537
146.265	5.96537	20.7769	0.176667	146.506	5.96537
146.265	5.96537	20.5842	0.175465	146.265	5.96537
146.988	5.96537	20.707	0.176209	146.506	5.96537
147.229	5.96537	22.2995	0.186399	146.988	5.96537
147.47	5.98412	20.9556	0.177812	146.506	5.96537
146.265	5.96537	21.2447	0.179701	146.747	5.96537
146.747	5.96537	22.462	0.18743	147.229	5.96537
147.229	5.96537	21.5764	0.18182	146.747	5.96537
146.988	5.96537	20.846	0.177125	146.506	5.96537
146.988	5.96537	22.2877	0.186342	147.229	5.96537
146.506	5.96537	21.7713	0.183022	146.988	5.96537
146.747	5.96537	20.1781	0.172832	146.265	5.96537
146.506	5.96537	20.5415	0.175179	146.506	5.96537
146.265	5.96537	21.8206	0.183365	146.988	5.96537
146.506	5.96537	21.1689	0.179186	146.506	5.96537
146.024	5.94661	19.7427	0.170026	146.024	5.94661
146.506	5.96537	21.5521	0.181648	146.747	5.96537
146.747	5.96537	19.1653	0.166305	145.542	5.94661
146.747	5.96537	20.6636	0.17598	146.506	5.96537
146.506	5.96537	20.7217	0.176324	146.506	5.96537
145.783	5.94661	21.3558	0.180388	146.747	5.96537
146.265	5.96537	21.0321	0.178327	146.747	5.96537
145.783	5.94661	19.9766	0.171515	146.024	5.94661
146.024	5.94661	19.9369	0.171286	146.024	5.94661
146.506	5.96537	19.1101	0.165962	145.783	5.94661
146.265	5.96537	20.7732	0.176667	146.506	5.96537
145.301	5.92785	19.6618	0.169511	146.024	5.94661
145.301	5.92785	20.3135	0.17369	146.265	5.96537
145.783	5.94661	20.2907	0.173576	146.265	5.96537
146.024	5.94661	18.6916	0.163271	145.301	5.92785
145.301	5.92785	18.9983	0.165218	145.542	5.94661
145.542	5.94661	18.5188	0.162126	145.301	5.92785
146.024	5.94661	18.5364	0.162241	145.301	5.92785
145.301	5.92785	18.7777	0.163786	145.542	5.94661
145.783	5.94661	18.6085	0.162699	145.301	5.92785
145.542	5.94661	18.3753	0.16121	145.301	5.92785
145.542	5.94661	18.3253	0.160867	145.06	5.92785
146.024	5.94661	19.5132	0.168538	145.783	5.94661
145.542	5.94661	18.0127	0.158863	145.06	5.92785
145.06	5.92785	19.2492	0.166878	145.783	5.94661
146.024	5.94661	17.9119	0.158176	144.819	5.92785
146.024	5.94661	18.2062	0.160123	145.06	5.92785
145.542	5.94661	17.9524	0.158462	145.06	5.92785
145.301	5.92785	19.5559	0.168824	146.024	5.94661
145.301	5.92785	18.9733	0.165046	145.542	5.94661
145.301	5.92785	18.5217	0.162126	145.301	5.92785
145.301	5.92785	18.4857	0.161897	145.301	5.92785
144.819	5.92785	18.4673	0.161783	145.301	5.92785
145.542	5.94661	17.2242	0.153711	144.578	5.92785
145.542	5.94661	18.0039	0.158806	145.06	5.92785
145.06	5.92785	17.208	0.153596	144.578	5.92785
144.819	5.92785	17.2249	0.153711	144.578	5.92785
145.301	5.92785	17.5567	0.155886	144.578	5.92785
144.337	5.90909	17.2198	0.153711	144.578	5.92785
144.819	5.92785	16.6277	0.149818	144.096	5.90909
144.337	5.90909	16.8932	0.151593	144.337	5.90909
144.819	5.92785	17.3103	0.154283	144.578	5.92785
144.578	5.92785	18.4636	0.161783	145.301	5.92785
145.301	5.92785	17.5648	0.155943	144.819	5.92785
145.06	5.92785	17.2441	0.153883	144.578	5.92785
143.855	5.90909	18.0076	0.158806	145.06	5.92785
143.614	5.90909	16.5688	0.149417	144.096	5.90909
144.578	5.92785	18.0105	0.158863	144.819	5.92785
145.06	5.92785	16.6483	0.14999	144.096	5.90909
144.337	5.90909	16.9381	0.151879	144.337	5.90909
143.614	5.90909	16.9138	0.151707	144.337	5.90909
144.819	5.92785	16.5166	0.149074	144.096	5.90909
143.614	5.90909	16.7439	0.150562	144.096	5.90909
143.614	5.90909	16.3438	0.147986	143.855	5.90909
143.614	5.90909	15.8083	0.144437	143.614	5.90909
143.614	5.90909	17.0506	0.152566	144.337	5.90909
144.578	5.92785	17.5581	0.155886	144.819	5.92785
143.614	5.90909	15.9341	0.145295	143.614	5.90909
143.614	5.90909	15.8649	0.144837	143.614	5.90909
144.578	5.92785	16.435	0.148558	144.096	5.90909
144.337	5.90909	16.4541	0.148673	144.096	5.90909
144.337	5.90909	17.1212	0.153081	144.337	5.90909
143.614	5.90909	16.1694	0.146841	143.855	5.90909
143.855	5.90909	16.7432	0.150562	144.096	5.90909
143.855	5.90909	16.7277	0.150505	144.096	5.90909
143.855	5.90909	15.1176	0.139914	142.892	5.89033
143.373	5.89033	15.0794	0.139628	142.892	5.89033
143.855	5.90909	15.8973	0.145066	143.614	5.90909
143.855	5.90909	16.6453	0.149932	144.096	5.90909
142.651	5.87157	16.649	0.14999	144.096	5.90909
144.096	5.90909	16.3938	0.148272	143.855	5.90909
142.892	5.89033	15.3743	0.141574	143.133	5.89033
143.855	5.90909	16.2739	0.147528	143.855	5.90909
142.892	5.89033	15.6163	0.143177	143.373	5.89033
