a2231016.115556
LAquila  10/03/2022 16:11:30 10/03/2022 16:11:55 0000 0000.000000 0000.000000 00.0 00.0
0002001 0100 0000000 0000 06 0000000 0000 0000000 0000
1 0 1 16380 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 BT0 "IR-Channel"
1 2 1 02000 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 S2A0 "IR-Channel"
1 1 1 16380 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 BC0 "AIR-UV"
1 3 1 02000 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 S2P0 "AIR-UV"
1 1 1 00010 0 0810 3.75 00387.o 0 0 00 000 00 002001 3.1746 BC1 "N2-UV"
1 1 1 00010 1 0900 0015 00386.p 0 0 00 000 00 002001 3.1746 BC2 "N2-UV"
1064.000 .o Analog 0 	1064.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	387.000 .o Photon Counting 1 	386.000 .p Photon Counting 2 
5.4787	0.000588612	0	0	0	0
5.47766	0.000593556	0	0	0	0
5.47786	0.000565933	0	0	0	0
5.47843	0.000582047	0	0	0	0
5.4786	0.000572924	0	0	0	0
5.47837	0.000572328	0	0	0	0
5.47789	0.000574203	0	0	0	0
5.47693	0.00057301	0	0	0	0
5.47811	0.00057804	0	0	0	0
5.47861	0.000572498	0	0	0	0
5.4789	0.000574374	0	0	0	0
5.47841	0.000596199	0	0	0	0
5.47794	0.000578807	0	0	0	0
5.47782	0.000575141	0	0	0	0
5.4775	0.000567042	0	0	0	0
5.47747	0.000576249	0	0	0	0
5.47766	0.000587162	0	0	0	0
5.47784	0.000574629	0	0	0	0
5.47794	0.00056167	0	0	0	0
5.47778	0.000577272	0	0	0	0
5.47834	0.000581791	0	0	0	0
5.47819	0.000560306	0	0	0	0
5.4785	0.000570196	0	0	0	0
5.47852	0.000586395	0	0	0	0
5.47937	0.000569344	0	0	0	0
5.47802	0.000593812	0	0	0	0
5.47747	0.00058162	0	0	0	0
5.47787	0.000559198	0	0	0	0
5.47839	0.000577699	0	0	0	0
5.4775	0.000578125	0	0	0	0
5.47779	0.000592363	0	0	0	0
5.47778	0.000578466	0	0	0	0
5.4779	0.000574459	0	0	0	0
5.4782	0.000575056	0	0	0	0
5.47868	0.000572157	0	0	0	0
5.47784	0.000577358	0	0	0	0
5.47765	0.000585287	0	0	0	0
5.47751	0.000587674	0	0	0	0
